artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig51,kmeans||,17,34,4,2,64,exact,3,45,4,3860747.123712405,3832845.6290041227,10,3.837714672088623,5.677693605422974,False
fig51,kmeans||,17,34,4,2,64,exact,4,46,4,3933077.111525817,3847501.5075716055,19,4.0802321434021,11.832399368286133,False
fig51,kmeans||,17,34,4,2,64,exact,5,47,4,3870838.6841706135,3848857.555134948,8,3.822458028793335,5.261205434799194,False
fig51,kmeans||,17,34,4,2,64,exact,6,48,4,3978436.9177144035,3838778.385852474,12,3.904482364654541,5.6988677978515625,False
fig51,kmeans||,17,34,4,2,64,exact,7,49,4,3891937.907590594,3861866.248435681,18,3.956717014312744,12.758450031280518,False
fig51,kmeans||,17,34,4,2,64,exact,8,50,4,3748153.739040935,3632038.1837999625,11,4.09061074256897,4.028897523880005,False
fig51,kmeans||,17,34,4,2,64,exact,9,51,4,3871937.8178892164,3852226.7028297675,17,4.002472639083862,9.13204312324524,False
fig51,kmeans||,17,34,4,2,64,exact,10,52,4,3814297.619269142,3783177.3524553864,9,3.893937349319458,4.634528636932373,False
fig51,kmeans||,17,34,5,2,64,exact,0,42,5,3733498.6302747843,3714472.5922249686,10,4.261636972427368,2.901958465576172,False
fig51,kmeans||,17,34,5,2,64,exact,1,43,5,4113947.2773472066,3803899.710827607,26,5.4269795417785645,17.96323871612549,False
fig51,kmeans||,17,34,5,2,64,exact,2,44,5,3814136.544500676,3801833.1952090655,6,4.666952610015869,1.3679261207580566,False
fig51,kmeans||,17,34,5,2,64,exact,3,45,5,4012245.808387435,3997949.855427418,7,5.78157639503479,4.02282452583313,False
fig51,kmeans||,17,34,5,2,64,exact,4,46,5,3878068.1827886985,3860557.337192935,15,4.970678806304932,6.863146543502808,False
fig51,kmeans||,17,34,5,2,64,exact,5,47,5,4031830.794509905,4011238.7197654676,6,4.042103290557861,3.8449935913085938,False
fig51,kmeans||,17,34,5,2,64,exact,6,48,5,3987462.9040122516,3872664.2949313307,15,5.38540244102478,8.713579416275024,False
fig51,kmeans||,17,34,5,2,64,exact,7,49,5,3888643.092714957,3864951.6313789897,8,4.496830463409424,2.6040124893188477,False
fig51,kmeans||,17,34,5,2,64,exact,8,50,5,3863044.129563538,3767054.59771909,10,4.4753968715667725,5.217824459075928,False
fig51,kmeans||,17,34,5,2,64,exact,9,51,5,4033061.3214322086,4005012.8850604277,14,4.227296352386475,7.667903423309326,False
fig51,kmeans||,17,34,5,2,64,exact,10,52,5,3746238.7283695294,3705171.5624933606,13,4.858830451965332,7.1757800579071045,False
fig51,kmeans||,17,34,6,2,64,exact,0,42,6,3802321.4409143394,3791767.19770229,13,5.736304759979248,5.042813062667847,False
fig51,kmeans||,17,34,6,2,64,exact,1,43,6,3948969.7329453593,3938550.437617627,11,5.490173101425171,5.299623250961304,False
fig51,kmeans||,17,34,6,2,64,exact,2,44,6,3882131.437892714,3875108.5434115175,7,5.9074366092681885,3.638671398162842,False
fig51,kmeans||,17,34,6,2,64,exact,3,45,6,3901551.837606678,3889698.837678128,9,6.022074222564697,4.600748062133789,False
fig51,kmeans||,17,34,6,2,64,exact,4,46,6,3997142.972428116,3989670.5472868043,7,5.848850727081299,1.6087346076965332,False
fig51,kmeans||,17,34,6,2,64,exact,5,47,6,4008584.337041269,3998307.601444732,6,6.245221853256226,1.4793760776519775,False
fig51,kmeans||,17,34,6,2,64,exact,6,48,6,3833744.3091962184,3819175.317644028,9,5.477274656295776,5.712149620056152,False
fig51,kmeans||,17,34,6,2,64,exact,7,49,6,4034437.0354499067,4021205.9699046095,7,5.539173603057861,2.348526954650879,False
fig51,kmeans||,17,34,6,2,64,exact,8,50,6,3881105.085489904,3714693.7240230204,13,5.423685789108276,7.689077138900757,False
fig51,kmeans||,17,34,6,2,64,exact,9,51,6,4505434.151619174,4486278.792566362,11,5.63543963432312,3.762361764907837,False
fig51,kmeans||,17,34,6,2,64,exact,10,52,6,3780887.6421374283,3766772.285202703,11,5.206931114196777,6.431648254394531,False
fig51,kmeans||,17,34,7,2,64,exact,0,42,7,3938752.8932183743,3911335.7441999894,16,6.037732362747192,9.25408411026001,False
fig51,kmeans||,17,34,7,2,64,exact,1,43,7,3949858.6633834606,3782896.0157889836,13,7.069032430648804,4.644739627838135,False
fig51,kmeans||,17,34,7,2,64,exact,2,44,7,3885882.6559576946,3875446.4797739764,18,7.160702705383301,10.92108964920044,False
fig51,kmeans||,17,34,7,2,64,exact,3,45,7,3868124.245836122,3833662.9717285116,8,5.876075267791748,2.640004873275757,False
fig51,kmeans||,17,34,7,2,64,exact,4,46,7,3849445.812719739,3839983.3680839376,7,6.560710906982422,1.874645471572876,False
fig51,kmeans||,17,34,7,2,64,exact,5,47,7,3976620.6163268536,3962393.023957856,9,6.521413087844849,2.34285831451416,False
fig51,kmeans||,17,34,7,2,64,exact,6,48,7,3633575.2587176017,3622313.543246445,8,6.935892105102539,4.420623779296875,False
fig51,kmeans||,17,34,7,2,64,exact,7,49,7,3938132.7626507715,3925789.5354380812,9,6.837738037109375,4.830479145050049,False
fig51,kmeans||,17,34,7,2,64,exact,8,50,7,3704340.1140246456,3695345.1514580087,10,6.596013069152832,5.757137298583984,False
fig51,kmeans||,17,34,7,2,64,exact,9,51,7,3862433.770861454,3848287.1360815656,5,6.227965354919434,1.0408358573913574,False
fig51,kmeans||,17,34,7,2,64,exact,10,52,7,3826296.269234252,3815794.2637107614,9,5.986191987991333,3.237294912338257,False
fig51,kmeans||,17,34,8,2,64,exact,0,42,8,3830891.8689073576,3823502.230346602,6,7.108343839645386,4.287522315979004,False
fig51,kmeans||,17,34,8,2,64,exact,1,43,8,3902042.7954286532,3892948.634682861,9,7.896928787231445,4.537090063095093,False
fig51,kmeans||,17,34,8,2,64,exact,2,44,8,3939914.165517303,3932921.5768706724,5,7.79529881477356,2.9597268104553223,False
fig51,kmeans||,17,34,8,2,64,exact,3,45,8,3607485.6900678203,3599960.966511406,7,8.458438873291016,2.9505879878997803,False
fig51,kmeans||,17,34,8,2,64,exact,4,46,8,3718496.9228881937,3709559.7065797686,11,7.7067248821258545,6.642963647842407,False
fig51,kmeans||,17,34,8,2,64,exact,5,47,8,3929049.7615776397,3913390.9954610476,18,7.993646144866943,11.49625539779663,False
fig51,kmeans||,17,34,8,2,64,exact,6,48,8,3834052.3122417764,3828159.435218745,10,7.294110059738159,6.4785706996917725,False
fig51,kmeans||,17,34,8,2,64,exact,7,49,8,3772495.4867348247,3766185.739380662,7,8.064280986785889,1.9196913242340088,False
fig51,kmeans||,17,34,8,2,64,exact,8,50,8,3865989.398334261,3858019.309401659,5,8.015705108642578,0.9156041145324707,False
fig51,kmeans||,17,34,8,2,64,exact,9,51,8,3852994.984443308,3846639.554487591,6,8.258535623550415,3.251580238342285,False
fig51,kmeans||,17,34,8,2,64,exact,10,52,8,3781071.384138148,3771254.718140039,12,7.5560619831085205,7.015233278274536,False
fig51,kmeans||,17,34,9,2,64,exact,0,42,9,3853011.9088617633,3843795.325078676,8,8.329891443252563,3.2844016551971436,False
fig51,kmeans||,17,34,9,2,64,exact,1,43,9,4092264.9034868595,4087321.5232877685,7,8.904544830322266,4.66887903213501,False
fig51,kmeans||,17,34,9,2,64,exact,2,44,9,3964738.120949366,3959162.4069242002,7,8.45694375038147,1.6612637042999268,False
fig51,kmeans||,17,34,9,2,64,exact,3,45,9,4003285.983265614,3997351.214259808,9,9.207815408706665,4.604948043823242,False
fig51,kmeans||,17,34,9,2,64,exact,4,46,9,3825555.2616900373,3821196.793955743,8,9.269044160842896,4.745617151260376,False
fig51,kmeans||,17,34,9,2,64,exact,5,47,9,4105976.404558601,4101128.596111291,8,9.237578868865967,4.390974521636963,False
fig51,kmeans||,17,34,9,2,64,exact,6,48,9,3844224.88355935,3688381.2520030565,16,9.04803729057312,10.730571031570435,False
