k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,workers,l_over_k
500,500,5,5,256,624357.293980054,571011.816664388,118.084995746613,62.2633740901947,12,50,"[624357.2939800537, 589400.4720809411, 582237.1403608833, 578973.0119286545, 576773.0525155965, 574849.202956011, 573501.0360321864, 572680.1508343476, 572154.2991775102, 571740.2993601856, 571434.2350343472, 571221.2107865096]","[37.99981927871704, 1.917496681213379, 2.1799256801605225, 2.13137149810791, 2.175896644592285, 2.1170742511749268, 2.4361555576324463, 2.361631393432617, 2.2580344676971436, 2.085853099822998, 2.370753049850464, 2.0704455375671387]",4,1
500,500,5,5,256,625147.194645698,572487.893133985,101.833715677261,52.0758295059204,9,51,"[625147.1946456982, 590752.9388697603, 583504.4639713058, 579250.0731673215, 576265.6554799771, 574849.9330251738, 573974.9284579379, 573404.2032587344, 572945.1961362384]","[35.208975315093994, 2.037900447845459, 2.0822181701660156, 2.2144598960876465, 1.9755280017852783, 2.04732084274292, 2.257568836212158, 2.034560203552246, 2.111499309539795]",4,1
500,500,5,5,32,625753.041289926,572782.601479591,65.1962525844574,36.1189241409302,9,42,"[625753.0412899258, 590098.4776576528, 583300.6829771658, 579720.5929418113, 577614.8262821293, 576266.6463748945, 575293.0684087491, 574303.7363432406, 573481.5623352606]","[19.814350605010986, 2.061397075653076, 2.018949508666992, 2.019821882247925, 2.0176045894622803, 2.0273637771606445, 2.056086301803589, 2.063595771789551, 1.9836301803588867]",5,1
500,500,5,5,32,619793.884580344,566820.394348676,66.9476580619812,36.8206837177277,9,43,"[619793.8845803444, 584485.9762393425, 577687.770817848, 574372.4781197633, 572228.5168533429, 570500.4083465536, 569080.9864384234, 567978.0352045798, 567320.920592834]","[19.994625091552734, 2.052201986312866, 2.015504837036133, 2.0278191566467285, 1.9807958602905273, 2.00648832321167, 2.003004550933838, 2.0450546741485596, 2.614426612854004]",5,1
500,500,5,5,32,634981.221155749,571727.511410259,80.5126006603241,47.0346562862396,14,44,"[634981.2211557488, 593634.5823648146, 586654.7318073309, 583116.232218885, 580592.4767294839, 578519.8047783275, 576917.1117908659, 575788.2867311565, 574922.2402925395, 574069.2519513812, 573418.0615299863, 572856.5500125568, 572348.1741525893, 572010.785333185]","[19.88270592689514, 2.6248185634613037, 2.0597338676452637, 2.0407984256744385, 2.030363082885742, 2.004795551300049, 2.0312020778656006, 2.0049667358398438, 2.027219295501709, 2.0184288024902344, 2.13134503364563, 2.027742385864258, 2.0138497352600098, 2.0591964721679688]",5,1
500,500,5,5,32,625225.718115354,575931.763831325,72.897255897522,40.6588311195374,9,45,"[625225.7181153541, 592496.2900813015, 586732.3766139237, 583212.4194383943, 580489.1044844193, 578799.1025928938, 577734.4518756781, 576962.2740384436, 576388.0293496733]","[20.135469675064087, 2.6265203952789307, 2.6317293643951416, 2.6188666820526123, 2.657080888748169, 2.603490114212036, 2.0284814834594727, 2.628856897354126, 2.6110050678253174]",5,1
500,500,5,5,32,634412.161177351,579474.263886935,72.5868585109711,42.2288336753845,10,46,"[634412.1611773506, 597371.5409778958, 590950.5243237781, 587708.107038365, 585479.5422864947, 583814.2140632453, 582348.9236231953, 581206.0044945907, 580433.9097237464, 579905.6247893181]","[20.464395999908447, 2.0228264331817627, 2.0522892475128174, 2.0231733322143555, 2.012969970703125, 2.7111263275146484, 2.6494717597961426, 2.740609884262085, 2.7594683170318604, 2.698669910430908]",5,1
500,500,5,5,32,629479.122262569,572101.015315887,68.7851023674011,37.8213856220245,12,47,"[629479.1222625693, 595609.7000336272, 588659.3673509121, 583899.1000762425, 580724.8419525092, 578807.5045376581, 577257.5743048637, 575879.8324263067, 574803.4759230624, 573942.0675114745, 573196.5992735283, 572578.4584605038]","[15.403173923492432, 2.051541566848755, 1.9799761772155762, 2.0167899131774902, 2.063936948776245, 2.0331108570098877, 2.0338449478149414, 1.9795877933502197, 2.0286314487457275, 2.0622668266296387, 2.0129172801971436, 2.011988878250122]",5,1
500,500,5,5,32,622563.189011993,570792.14565315,65.7617452144623,34.8217628002167,8,48,"[622563.1890119932, 585124.4983906001, 579156.414767333, 576012.0047447252, 574233.730652391, 572781.5225629435, 571910.6799618175, 571299.3567188105]","[20.296544075012207, 2.006911516189575, 2.303452968597412, 2.0502309799194336, 2.005722761154175, 1.9997174739837646, 2.016439914703369, 2.0615603923797607]",5,1
500,500,5,5,32,627827.07781387,568954.972097126,61.1709680557251,29.6614344120026,12,49,"[627827.0778138695, 591483.0445425103, 584336.2143297323, 580067.1682844772, 577517.6538528726, 575872.0548960995, 574471.0402180882, 573153.6160817888, 571768.3861141128, 570167.4104259057, 569556.7523011379, 569187.4719998612]","[5.872693300247192, 2.146029233932495, 2.1976687908172607, 2.1407175064086914, 2.146291971206665, 2.0743820667266846, 2.049314260482788, 2.2314772605895996, 2.1906402111053467, 2.1520063877105713, 2.1785411834716797, 2.199880838394165]",5,1
500,500,5,5,32,631695.065251265,573515.102151498,69.8016486167908,41.6837949752808,11,50,"[631695.0652512645, 595945.0342377746, 588160.3698784747, 584201.6236677777, 581167.9609895516, 578955.0527804827, 577279.0839696787, 575886.880068442, 574947.234346412, 574278.9425232582, 573840.7715716539]","[20.15003275871277, 1.990476131439209, 2.0297298431396484, 2.05212664604187, 2.038135528564453, 2.0442841053009033, 2.015292167663574, 2.594003438949585, 2.4412662982940674, 2.0541441440582275, 2.077427864074707]",5,1
